transcription;language;emotion;model_transcription
A volte, ma un po' più silenziosamente.;it;neutral;wo dey no what pule selenos ae meant
No, mi serve un lottatore con una laurea.;it;sadness;no me sar de  optatory couldn't allowd it
È meraviglioso.;it;neutral;admitte venues
Al contrario.;it;neutral;i contraryo
Nessuno mi fa ridelle come te.;it;joy;msoon a'm very delicouate
Ciao papá.;it;neutral;sea bet er
Ho ordinato le partecipazioni due settimane fa.;it;neutral;or the nataly participats on do a cety moneyt
Forse dovresti solo, come dire.;it;neutral;whats a the restysolocomed e tat
Tu e mio figlio portate la stessa taglia.;it;neutral;to an me yo filio portatlastis atalia
Oh, mi scusi io … mi scusi.;it;neutral;weat your
Ah mio dio Peter, siamo stati bambini in queste stanze.;it;neutral;vopeter simble stuty bumbinin crisistans
È sempre stato il mio nome preferito.;it;neutral;the sam presativ mioname preferit
E solo che … [non-verbal];it;neutral;u sete gam from day
Che splendida idea.;it;neutral;just plentid itere
Ah questa casa! È questa casa che mi prende.;it;neutral;h christ acanoser a christmac ancer can be brende
Uno che lavora qui mi sembra un po' strano.;it;neutral;nokelever aq mi symbrom per stran
Qui c'è qualcosa che mi ricorda la bambina che ero e che non mi ha mai abbandonata.;it;neutral;fe etu ca cos a communey cordal bam bina cero iconomia may abandonad
Di quei che parlavano in latino.;it;neutral;they equation fedor in latine
Non cominciare a vantarmi le meraviglie di quella schifezza. Io ti odiavo allora.;it;neutral;non-comminture avantermilemeravileri quillas quensy th youtyodiavo lord
Oh, credevo parlarsi del giudice.;it;neutral;the wopelase wil ju thich
Avevo ragione.;it;joy;awevor a journay
Grazie tante.;it;neutral;gracie don
Avanti, calmati.;it;neutral;avanti calmat
Sei splendente come un panno illustrato.;it;joy;say's playn danta commun pan il lustrad
Credevo che fossi prestato ad un amore tempestoso.;it;neutral;cane t hoc forspresad onomoratin pistolis
Mio Dio guarda, mi sono ricoperta.;it;neutral;nea dogar the missonari cope
CioÈ, tutto qua.;it;surprise;shot the club
No! [non-verbal] Sí! ;it;neutral;noh rari look tee
[non-verbal] bene.;it;neutral;come focter
Stai arteggiando qualcosa.;it;neutral;they tend the goll carse
È un fochettone da cucina.;it;neutral;he wans the keton hi the couchine
Che cosa hai detto.;it;neutral;ecase vict
Solo le bimbettine con i boccoli d'oro.;it;joy;so lol it bein bhetine conibokolidara
Buon compleanno!;it;neutral;bonko plan
Bastardo!;it;neutral;adogh
Un dovere come questo Leonard non esiste.;it;neutral;the very commicuel is stolonardno exist
Sono dovunque si prendono cura di me dei dottori che mi comunicano cosa è meglio nel mio interese.;it;joy;sonodovunqua sifrandonokuradima the doctori cmicomonicanocasa imalion i new intennet
Io muoio se resto ancora qui.;it;neutral;yu boar you sen as don gota queen
Dite così. No! questa è la mia!;it;sadness;in yo cos i no qrest tala mia
I giornalisti Inglesi stamattina si svegliano e pensano: ‘Io lo so dove si trova Anna Scott’.;it;neutral;journalist englesistamatinassvlionpens anno yeulo sofdo besitravana s calt
È in quela casa col portone blue a Notting Hill.;it;neutral;eqanticas a colportuny blue a nothing yeale
E poi te ne vai fori con quelle maledette mutande.;it;fear;i fih ta way folly don't wil le ma en the tebutande
Santo Dio. Io ho un fidanzato.;it;neutral;some took the yoyong financeer
E ora da domani ci saranno foto di te su tutti i giornali da qui a Timbuktu.;it;neutral;heorada domany chesaran ofototoisu to tea journal inte quiartin buktu
Certo, per te una situazione perfetta, vero?;it;neutral;charch hovertain on the situation al perfector vedo
Minimo imput massima pubblicità.;it;neutral;minimal input hemasimer publicita
Dovunque andrai la gente dirà. Oh, complimenti a te, sei andato a letto con quell'attrice.;it;joy;the ondraile gente dera complmental caseand thetolecto conquillet treco
Abbiamo visto le foto.;it;neutral;bl le movies toly fhoto
Ti rendi conto ch’è la cosa più preziosa che possediamo.;it;neutral;fe randicon tocalocas are pw pretiouse ac aposidiar
Io voglio saperlo adesso, quando diavolo vine casa. Adesso!;it;neutral;yuva yous apperan tays cocolodevelovin a casa and tais so
Non provare a toccarla.;it;neutral;no provaria tokal
Corri qualche rischio. Fai qualche errore!;it;neutral;cori qualkeriskya  fight qalkerola
Per scoprire cosa è reale e cosa non lo è. Per scoprire quello che tu provi.;it;neutral;fheliscopriter casareally caseaodway pheruscopriter equioto provi
Niente box fuori casa. Capito.;it;neutral;ientebok body canza kapico
Niente box. Punto e basta.;it;neutral;niantebak pontel baste
Voi andate a scuola.;it;neutral;boyam the tes coall
E andrete all'università e avrete una professione.;it;sadness;he underrtaled universita he ave reten on a professional
Perché non vi farete sfondare il craneo anche voi.;it;neutral;ther can on be veriotus fon dari canyan keloy
Avete capito?;it;neutral;take a veatle
Sono stata chiara?;it;neutral;sh allestat ta cana
Fino ad ora.;it;neutral;we no daughta
Ma tirati fuori da quell incontro. Rompiti un'altra volta la mano se è necessario.;it;neutral;matirati forida quellinconrompet un altaltalemanos and necessario
Benché avessi paura io non ho detto niente.;it;neutral;the kevisty paura hi onon otetonanted
Ma io adesso ti dico che il tuo amico lì venderà la nostra chiave a qualche compare.;it;neutral;he as te sortitica kaltoamigo lev vinderalland astra kiavia qualkecompari
Voglio vedere se questa volta ti comporti come se non te nefregasse un cazzo.;it;neutral;aluoviters qestaval traticom party commescin ontrinfrigatson cansle
Che non se ne sta lì a guardare mentre io vengo amonestata.;it;neutral;innosenistanliaguardare meantraiofancomorestatas
Non ha proprio senso che stai qui a fare questo tutto il giorno.;it;neutral;non appropriot senso can take qwea pary quisto toto e jure
Il caso è chiuso.;it;disgust;he cas accuser
I fotografi non ci sono più, i tuoi soci non ci sono più, ora non c'è più neanche la ricerca per il Dentrex.;it;neutral;i photographyn nocisono pu itoiseurching ochisonopu weran o chapunean calaritur caperil diatracs
È tutta colpa mia.;it;neutral;shta tacul pamina
Havrei potuto fermarlo.;it;neutral;ipot out of er mal
Si svegliava.;it;neutral;she's ve noble
E saltava giù dal latto.;it;neutral;a insal tova to dol lat
Se ne andava in giro.;it;neutral;sen at babe injer
Si svegliava.;it;neutral;sis be lava
Ed era confuso.;it;neutral;and at i confusor it
[non-verbal] lo sono.;it;neutral;dus go on nog
Voglio morire anche io.;it;neutral;verdy ranky
Io che credevo di essere incinta.;it;neutral;you can crad the audioser in cheent
Una caramella ce l’ha?;it;neutral;on a caramella chila
Mami ti manda milioni e milioni di baci.;it;joy;amitim and a million in millionin devart
Tranne l’unica cosa che volevo.;it;neutral;the ran the unica casakivolev
Se mai sono preoccupata per Greg se è una cosa che se lui non c’è la fa.;it;neutral;she vies ona precupi te peraicanonacosacas ininiel
Al fatto che Katy é morta.;it;sadness;i'm fad to kket yum out
Ai poveri Anabet e Jimmy ecco.;it;neutral;ip overiana bate gm c
Ho preso Michael ieri sera.;it;neutral;apreso michael yeri sat
E sono andata in un Hotel.;it;neutral;i son an that een bocket
Non lo so Jimmy.;it;neutral;not a sarteam
Mi dispiace davvero.;it;neutral;nu dispach a the tatre
Per le sofferenze terribili che vi ho procurato.;it;neutral;wite a las of feran sete rebilig you'r procurat
Davvero mi dispiace davvero.;it;neutral;ta bel it is pietched afer
Tutto mi dispiace.;it;neutral;mit spier
Non sono mai stati aperti.;it;neutral;jonson awassted abert
Non esiste niente.;it;neutral;no lessistant yet
Non cè nessuna cospirazione John.;it;neutral;tancen is ton a cospitat cionita
Non c’è nessun William Parker. ;it;neutral;not senmy son william parcher
Non è reale, è solo nella tua mente.;it;joy;nonalmy ale a solemnel tormant
Sei malato.;it;neutral;si pelot
Sei malato John.;it;neutral;sim a lot jon
Ha detto che se tu avessi detto questo …;it;neutral;at the tokas etor e seeded to huest
Ha dei documenti per il ricovero coatto da farmi firmare.;it;neutral;a dat document tipery recover rocard to a firmy filmari
Peró le mie, le mie figlie.;it;neutral;the oller me geve me ophilia
È così ingiusto per le babine [non-verbal];it;neutral;casing was develop y b
Comunque non ho …;it;neutral;coma creenon
Ma in parte molto di quello che scrivono su di me.;it;joy;im impartan mall to the gologis criver as o deven
Un’alta delusione.;it;neutral;buld ill telle dy luse yord
Che se ne va.;it;neutral;kiss inver
Fantastica, sì davvero fantastica.;it;joy;fantastic asithe viro fantasticat
C'erano questi monaci che cantavano.;it;neutral;jerano christi monage ikantavano
Ma non mi sono imozionata per niente.;it;neutral;but no was eny machanother ten yente
Capisci?;it;neutral;capeci
Niente di più importante. Ti richiamo dopo. Va bene?;it;neutral;et an important tirica od ope ofapen
Fiera di tutto ciò che faccio.;it;sadness;ve had a particlter fat
Uno ha cercato di aggredirmi ed io, le ho tirato un pugno e lui mi ha tagliato.;it;neutral;larcer catolyagreadin meayo yo atala tompunya lumiatyat
Io stavo andando verso la mia macchina.;it;neutral;he osed to have an handle etotemyamikin
Io dico: Non fumo. Lui dice: Ne anch'io. E allora.;it;sadness;here they got no formar loi theniankioa lona
Sento il cuore che si mette a dare mille perchè lì non c’è nessuno oltre a noi due.;it;neutral;centrco exhibited arabilla bl lonce e son alter in a doy
Ah il rapinatore, lo so come funziona il tuo cervello, lo so.;it;joy;repiratoril a shoccomen funtional tochevee
Io torno a casa tutto insanguinato la notte che Katty viene uccisa.;it;neutral;the otornak has toteegminatal as the selotic acatemy of richiser
E l’assassino sono io vero?;it;neutral;theses cinos aroyovero
Io non mi fido più ne anche della mia mente, devo avvertirti.;it;neutral;my feet up on acadelem mant the wibertirity
Cazzo sta succedendo. Dove sono.;it;neutral;bo kik cups ar substarch in and medova sono
Dove diavolo siamo!;it;neutral;o don't be jungle of syoung
Non lo so.;it;neutral;o almos aw see
Perché devo dirti il mio nome?;it;neutral;yo telin your omed
Che cosa ci faccio qui.;it;neutral;her cosen chafacal crean
Non ricordo niente.;it;neutral;no record on yat
Sono andato al letto nel mio appartamento e mi risveglio in questo posto di merda.;it;neutral;soondatoletonamy opert meeris venue in crystoostonyverbe
Non voglio rischiare di romperlo. Lanciami la cassetta.;it;joy;nonbolio is charity romper lunch a mila casseta
È solo solo un brutto scherzo, vero?;it;neutral;et salumbrto scart over
Chi è?!;it;surprise;hear
Chi sai?!;it;neutral;kissol
Fatti vedere!;it;neutral;fa dimadate
Ti ammazzo figlio di puttana!;it;neutral;hou are not soffe jor the potata
Chi è che parla?;it;neutral;hear caparl
Piccola sono io. Ti sento.;it;neutral;bekolasonoi descent
William io non pensavo di dover fare questo.;it;neutral;william you don't pence abouty dover fa re quest
... hai svolto un incarico top secret per il governo.;it;neutral;hali chajos voltom in caricotop's secret pery governo
Esiste la minaccia di un disastro di proporzioni catastrofiche.;it;neutral;hisistelminature dung disastr deproportioncatastrophyg
Con tutto il rispetto, questo è assolutamente ridicolo. Non ha alcun senso!;it;neutral;contuctoris pyabsolute ntredicule n alcume sens
Accendi la luce!;it;joy;mak sangd in a loucer
Che cos'è questa puzza tremenda.;it;surprise;she caus a christopher shatrevenber
Ho bisogno di te.;it;neutral;op pi's on your detay
Ne abbemo paura che fossi morto.;it;neutral;a bemo po raket for simart
Mi è successa la stessa cosa anche a me.;it;joy;s so chester as tacacos and jeme
Sono stato colpito da scarice elettriche.;it;fear;so thes to te culpit on a scary calet
Aiuto!;it;neutral;a yoteh
Qualcuno mi aiuti!;it;neutral;co colum ia jo e
Sì, si chiama Sed.;it;neutral;see see camoisele
Che stà succedendo.;it;neutral;asuche daindel
Eh, solo solo il greletto.;it;neutral;is sono solo el grelet
Era un lupo mannaro.;it;neutral;et ta loop op the tite
Io non ho ucciso Katty.;it;neutral;youre nor now cheese or cate
Lei stava seduta sopra il letto, e …;it;neutral;e his tales settled as prey lator
Dove sono, nei regno dei morti?;it;neutral;so not a rin dew the part
Chi è!;it;neutral;yah
Gli ho parlato.;it;neutral;jump on lackor
Come quando si dice: Non è una rivolta, è rabbia.;it;neutral;comme guando si teacher noniona rivolter arabia
Gardate questa insignificante squallida cosa.;it;neutral;ertaecis insignificant is qually the cause
Qualquno sa dirme in che somiglia alla foto?;it;neutral;alcuno saddirmink is somiyanafate
Aspetta la vediamo.;it;neutral;was pettalbith yamo
Quando ho compiuto sei anni il mio miglior amico di allora mi ha ferito con un chiodo arruginito.;it;neutral;quanto computer seyanimio milori amicodiellor am ya ferry toconocodoaroginito
Davvero? Eppure lo sbirro pensa che ci sia tu dietro tutto questo.;it;neutral;the vero a pura osbirop and sakicisia too getro to tok westo
Perché ti arrabbi? Guarda che non me ne frega niente.;it;neutral;ar keta rabby bartakanomanafreganyent
Lieto di esserle stato d'aiuto.;it;neutral;lieto ges elestato da utor
Ho un orario di ufficio fisso. Se ci sono ulteriori informazioni che lei habbia bisogno su detti o qualche proverbio.;it;neutral;ounorario dupitopis societisonalterior information icareabisonian osudatiquaproverbio
La mia porta è apertissima.;it;neutral;le my aportay appertisima
Magari la prossima volta che va all'ospedale potrebbe portare anche noi.;it;neutral;magaril approximable takevalos pedale potre peportariancanodi
Bene, nel prenderò nota. C'è altro che posso fare per lei?;it;neutral;prented or not a child tokipoofireperlay
Non includermi ne ho abbastanza delle convocazioni.;it;neutral;include ther mineoa bastan atheir convocation
Papà starà benissimo. E poi lui a Jou.;it;neutral;papa starabenici my poilu yad jo
E sembra che c'è l’abbia anche tu.;it;neutral;he simblakecala byanqetoo
Mamma ho molto da fare ti prego.;it;neutral;mama amost ote varity prago
Non ho tempo per aiutare questo coso a intentare una causa ridicola e inutile.;it;anger;nonotime popular uqistocaso are intentary un a cause a ridicule and inutile
Questa è la mutazione mamma. Il miracolo della genetica è che non sono te.;it;neutral;crista lamutatyoni mm in miraculo delagenetic atginosonty
Io vivo con te a so quanto studi o dovrei dire non studi. Eppure vai meglio di me.;it;neutral;jovivo contains af quento studio audoready renonce tota porevinmeio demay
Lasciamo perdere.;it;neutral;anles shoam operated theday
Perché più apprendo e più potrò avere la risposta giusta al momento giusto e salvare delle vite.;it;neutral;kepu apprento a ppotroaveryresposta justal momento justo is salvari de levit
Ma chiedi a chi ti pare.;it;joy;my kitia kitty party
Se vogliono avere uno stronzo al loro fianco.;it;disgust;simple youna wearing nostrons ore lod of yank
È perché tuo padre era dottore e suo padre era dottore?;it;neutral;aprikatuo padre inradotore is oa padre eradoctore
È una cosa genetica?;it;neutral;mna cos a genetica
Saddam, si chiama Saddam. Ah questo è fantastico Bruce.;it;surprise;she came satdam qy fantastica bruce
Certo, appunterò una medaglia su un iracheno che si chiama Sandam.;it;sadness;set a punter oun a medalle soon ed againo kesycamas an dam
Li costruisce i quartieri, non li vuole distruggere.;it;neutral;lecostrue shakwartearing only volidstrogery
Ho smarrito un ricorso importante. Questa è la loro versione.;it;neutral;marytrcor so important tequistellalot of version
Vuole sentire la mia?;it;neutral;wall is intirelamia
O no potremmo anche convincere Alma a lasciarci adottare le mie figlie.;it;neutral;potrymane conviture alma a shercha totaredemy field
A mantenere la baracca pensarebbe tuo suocero.;it;neutral;a mainteined labaraka bis rebit of swarso
E dai rubinetti uscirebbe il miele. Eh bravo genio. Un’idea geniale. Complimenti.;it;neutral;te te rubinative sherebel mia a bravo jakoni ther geneal a complement
Non ti ho detto neanche che la mia ultima ragazza era una femminista vegetariana.;it;neutral;notabl the tonyake kal amy ultimate ragats aroun o minister vegetariana
Ma Gerry non può obbligarci a fare cose vietate dalla legge.;it;neutral;maggi renom po bligata frrecause a vietatedalalege
Della morte di un pedofilo non frega niente a nessuno. Perché non dire la verità.;it;neutral;thelamor stadium pedofelo n ofraganiantea asun owercan on dearlalaverita
Oh, ne possiamo parlare, ma non andiamo avanti con il lavoro.;it;neutral;neposhamo parlla a man on anjabobanticoni labor
Martin scusa non puoi occupartene tu.;it;neutral;martin schools are no proocopartin at all
[non-verbal] è un'idiota.;it;sadness;iwill ned the offer
È sempre stato un ideota.;it;neutral;simpre statun ideo
Fammi gli auguri.;it;neutral;pabia good
Ho dei veri e propri classici.;it;neutral;they vary apropery class seat
Sarebbe eccitante però non trovi se, se uno famoso entrasse nel negozio.;it;neutral;sarebesita teperona travis town of amoso interest an an negotio
Vado solo.;it;joy;fan the solo
Mi ha davero ipnotizzato Sed.;it;neutral;an ta very ploted sarto ser
Mi ha detto già qualunque cazzata.;it;sadness;me additojack were un quick at sad
Cristo santo.;it;neutral;cristo sant
Tutti hanno un’idea personale di quello che credono sia il paradiso.;it;neutral;to tan munity a personal adeqo ncretorosyat parodies
Accidenti che signora simpatica.;it;joy;she then ticket seniora sympatic
Noioso da morire.;it;neutral;no yes ar the movie
[non-verbal] è meraviglioso ;it;sadness;your famirable lose e
Rilassati lo so. A che scopo essere matto se non ti puoi divertire.;it;neutral;satillo saw a ciscope is cerematos in omtipoidiver theater
Dio ... vi voglio bene.;it;fear;dear we've oll your bad
E poi mangiava una montagna di pure di patate.;it;neutral;a pyman jav on a monta dipoled dipatat
Potrai anche rimediare una trombetta e correrli indiatro intorno al ring.;it;neutral;otra younkerimediar on a trombeta corre liviatroing tournal rink
La gente non lo identificherà come personaggio di colore.;it;neutral;lagente nollo identificarack on a personal jeo decolore
[non-verbal] andiamo.;it;neutral;ehndyaw
Grazie non ho altre domande.;it;neutral;gradcy and hono alt rit o monday
Signor Wheeler è magnifico e straordinario.;it;neutral;senior wealer lay magnifico extraordinario
Capisco la tua logica. Mezzo cappucino in arrivo.;it;neutral;capy scholatologica metsa caplu chino in a rido
Queste sono le parole migliori che potevano uscire.;it;sadness;crest as onoleperol i miyor i cep pot avan osan
È questo il modo di parlare a unospite?;it;neutral;qthe's moto departer odos  detay
Ho perso il conto.;it;neutral;oh bessil cont
Arriverai, certo.;it;neutral;i  is faled
Non sei meno [non-verbal];it;neutral;on the sameno
Ecco la seconda più grande invenzione.;it;neutral;acona secondar fu gran  invention
Fantastico Larry. È meraviglioso, andremo daccordo vedrai.;it;neutral;te colary and mera videoso andremo the cortowith right
È un piacere vederti.;it;joy;i won't be aches in atility
Guarda che meraviglia.;it;neutral;warta camera vild
L’hai centrato!;it;neutral;lie chane tonaltor
Sei un grande!;it;neutral;se yu'm glond here
Dave tu hai una vaga idea di che storia di successo sei diventato.;it;neutral;to ionavaga iday a the history an he suggest o idiventatle
Però tu Jimmy, guardi Brenda come se volessi staccarli il naso e farglielo mangiare.;it;neutral;to jimmi grardi brendand acopsiboli sister carolinazoi fardulo manchar
Non no no, stai fresca figurati [non-verbal];it;neutral;innunar sta feriska regur as the hat
Stava andando verso la sua macchina per tornare a casa.;it;neutral;stevantand oversola swom ain operturnarea cas
Forse c'è una critica.;it;neutral;for the chona critica
Credevo che il paradiso fosse avere dei bambini.;it;neutral;hade vocaled paralese for severalabum bili
Ah sì diceva così.;it;joy;sdishony bare cosy eare
Signora mi dispiace ma temo che ci sia un malinteso.;it;neutral;senora med dispiacim damo cat i elmar in pes
Non sta mai seduta calma per un momento.;it;neutral;sermizen look at calme betal momenta
No lo so perché.;it;disgust;allo sort perky
Mi sente un po' sciocco a dargliela di persona.;it;neutral;s antumpos socke the reeloty person
Non è così, l’ho usato, soltanto per ripulire.;it;joy;the i cos he loves at is sorto verry fleeteg
Te ricordi che stavo solo scherzando.;it;neutral;gordicas i'm alsolo scertsando
C’ha creduto eh! non era male [non-verbal];it;neutral;checkey du to e atnal
Ok lo conosco il tipo.;it;neutral;okay loconol school teaper
Ah  devo occuparmi di una ragazza.;it;neutral;tid devill cooper medu raragat
Senza cielo ciò ne doveo immaginarme.;it;neutral;sensocheologymuchinare
[non-verbal] grazie signora.;it;neutral;h fur grad siinyor
Su questo non ci piove.;it;neutral;so christan an cheevy ell
Il vecchio Don è inutile come le tete su un cinghiale maschio.;it;neutral;herecordont a inutily accommodated tesom chingialle masqu
Tutti hanno un’idea personale di quello che credono sia il paradiso.;it;joy;two chan hunditar personar adiqal ogicredolosyat parodies
Una passeggiata.;it;neutral;wunl a passege up
Tutto qui? Una passeggiata.;it;neutral;o tokry iun a passage jut
È stato fatto per te.;it;neutral;astat of atoperte
Perché tu potesti salvarti.;it;neutral;ferketo potencison varty
È stato fatto per amore.;it;neutral;his tat of fa to peremore
Ho avuto il premio per la mia esibizione.;it;joy;o a good oll privio parallem mie exhibition
Credi che me lo avrebbero dato se fossi stato cosí.;it;neutral;rad became a loverliborot atase forista ho sam
E questo mi fa incazzare di bruto.;it;anger;he requestino me fying catcharity brutal
Se poi continuate a somministrarcele queste belle idiozie liberali.;it;joy;it wild continu a tastra ministrature equeslacia liberally
Tutti si voltano dall’altra parte mentre il paese sta marcendo dal didentro.;it;neutral;to tecibalt anota latr partintra ps staarchnto daldidayn
Centotrentanni! Ma quanto tempo gli serve per riuscire ad integrarsi?;it;neutral;cantorentanifqantotime police erperoshira integracy
Non sono più un bambino di quattordici anni lo sai.;it;neutral;nonsonopium bambino dequator dicha near  si
Zitti! Cazzo!;it;neutral;sit cat
È di mia figlia che si stà parlando.;it;neutral;ardemia failur cas situp for lango
Dovete stare zitti!;it;neutral;to let the started tex
Che diavolo c'ero venuto a fare.;it;anger;get jamon or cello wen now to a fury
Ma si guardi cazzo, lei è uno sposto.;it;neutral;massigwardi catsl arosposta
Da lezioni ha me sulla vita.;it;neutral;dalit sunia miss tu lavita
Esatto è morta cazzo. Sua moglie creppa e lei s’incassa le sue fiscie e va via.;it;neutral;hes artoi more takatso swom oly ecry bite in castalifisia ceremo vhia
L’ha persa. Ha perso una grossa mano. Molte persone perdono una mano come questa ma hanno il fegato di ritornare in pista.;it;fear;the persa persula grossamano multipersonal perdonon amanocomic wisamano ifegato diretornar impeased
Ma perché credi che faccia così Jerry? Ti hè venuto il sospetto cazzo.;it;neutral;mober ky credice achakusi jerry given utor sospecto cattle
E tu e i tuoi colleghi mi vedete come un caso pietoso.;it;neutral;a to-etoicol legimivete  common cass of piatoso
Io non te biasimo! Quio non si parla di te cazzone di un matematico.;it;neutral;eonontebiasimo gionocipar tety caps onadiu mathemarticle
È un bravo ragazzo!;it;neutral;en brather the gaso
Ve io non lascerò che tu lo faccia brandelli come ha cercato di fare a brandelli me ora.;it;neutral;the unnlatora chitul of fatur brandellicommerturd cato differa brandelli ba ona
Non lascerò che tu lo faccia sentire un fallito.;it;neutral;noless shero etwol of achasatinom fanlet
Io torno a casa quando o finite non un istante prima. È chiaro!?;it;neutral;ioturna kasa condopinita no onistanthe primer karo
O ti faccio a ffettine con questo!;it;neutral;h ortiparture fittin ig the conquest
E allora perché non mi dici quello che stai pensando!;it;neutral;ere are lor aprkino medicipale orchestice wen sander
E invece dovresti chiederlo!;it;neutral;they invented oriste catl
Non mi interessa se lo ami!;it;neutral;no meantor recfast a wam
C'è un autobus piano di morti!;it;neutral;shown out obus piano de bart
Io voglio fare il medico questo non è un gioco per me.;it;neutral;he aword your par in ma the coquestion on my own jog overed me
Questo non è un passatempo.;it;neutral;lhe's anno name past a tempe
Questa è una cosa molto seria.;it;disgust;this team records ave mort to say
Deve solo controllare che la sua testa sia un cazzo e stia attaccata al collo.;it;neutral;there is olo control arte inaswates tasion kazo is teataatal co
Un incontro interrotto dall’arbitro fa pena.;it;neutral;uni country etaro total arbitry fapena
Cosa vorrebbe dire.;it;sadness;cause of a repetire
Ci può sentire.;it;neutral;people sent tite
Così solo, sai fare del male a qualcuno.;it;neutral;she is sol of site feritat malaquerk
Ti fà sentire e come.;it;anger;the firt sen tera cover
Un alieno.;it;neutral;wota te yell
Quando sono uscito di galera.;it;disgust;andeson shat o the galhera
Sai dopo ...;it;neutral;thisi i e tem for wer
Che per me quando ero in prigione.;it;neutral;the permekandwero in prijone
Le volevo bene.;it;neutral;liver liver bandy
Soprattutto.;it;neutral;super toute
Perché a quel tavolo di cucina quella sera.;it;neutral;u told the cuchina cuid la sira
Era come se fossimo le ultime due pessone sulla terra.;it;neutral;racommense fleultimate operasores tolater
Rifiutati.;it;neutral;th efu to add
Io voglio solo abbracciarla un’ultima volta.;it;joy;your sowl o pera challe on ul tim a alt
Verso le otto.;it;neutral;wessel leot
E dovevamo partire domeni.;it;neutral;te viamo parti domain
Dovevamo sposarci appena arrivati.;it;joy;the a most posar chap in arrybat
Era questo il piano.;it;neutral;it accrase to the piano
Io l’amavo da more.;it;neutral;he hold some upple that warri
Non amerò nessun’altra così.;it;neutral;on mis sudalte
Succede una volta sola.;it;anger;so cheneen abult es hool
Però adesso ha deciso di morire.;it;neutral;erads e dichesse of temorir
E invece voglio solo tenerlo con me.;it;neutral;enlishire wat jus wot the restra company
Le giuro su mio padre che sono.;it;neutral;la jordanse patr kissher
So che sarebbe peccato mortale farlo.;it;neutral;sok is haled at pecatomor talephal
Però ttenerla in vita è come ucciderla.;it;neutral;erotanearly invid a comoc chater
Capisce Padre.;it;neutral;ga pisha bath
Che cosa bisogna fare.;it;neutral;ka concep is onia far
Sono andato a trovarla stamattina.;it;neutral;so ome tat otrovarles temanteen
Ho visto che tu non c’eri.;it;neutral;alwayse took a ton on chair
Beh forse tu non le firmerai.;it;sadness;for sitt on only film aday
Forse tu mi darai un po' di tempo.;it;sadness;forse to me that i am pody time
Ed io cercherò di trovare una soluzione.;it;anger;you shuld get a ditravatoment soton
Qualunque cosa tu faccia Rosen ha ragione su un punto.;it;neutral;colum acose to fetch rosin at a journy some prunt
Non sei più al sicuro con me.;it;sadness;no sad youal see coodacomme
Non lo so.;it;neutral;non less her
Forsé il dottor Rosen può accompagnarti da tua madre.;it;joy;forsale doutor rojem po accompanier tidat womadry
Poi una sera scopre di aver commesso uno sbaglio con uno di loro.;it;neutral;heunaseras copere tever mi sbalokon modilor
Quel momento non fa che pensare a lui, non può dimenticare.;it;joy;ureal momentumn ofak pensary alvinon thogad dimenticar
Lui non è più la stessa persona di una volta.;it;neutral;loinon epulastis appears from at inavalt
A sua moglie non piace la persona che lui è diventata.;it;neutral;nonpiachell a persona kalwyadiventad
A malappena si parlano. Ormai sono due strani.;it;neutral;a mule pinusy parlenormas onot westeran
E poi un giorno Malcom incontra un bambino meraviglioso.;it;neutral;a poionjornomal comin counter on bambino meravilios
Malcom decide di tentare di aiutare questo bambino.;it;neutral;malcolm decited e detenta radia utara qristo bambine
Perché sente che …;it;neutral;ic is syndike
… sarebbe come aiutare anche quell'altro.;it;neutral;said go may i you tharyank awill altr
Devi renderti conto che quando io ero piccolo lui era più spesso via che a casa.;it;neutral;they werenderd tegonto kekwando europicual or loyerapuspesovia kakaza
Tanto che io cominciai a pensare che avessi una seconda vita altrove.;it;neutral;then took yo comensona pinsari gavision a second avidal teroway
Un'altra famiglia.;it;neutral;nata famili
Comunque sia lui preferisce la sua seconda vita.;it;neutral;comon questiad weh prefere shilas was a condavid
